date,country,home_away,wc_team_score,opposition_score,result,match_type,opposition_country,home_team,away_team,tournament
2026-06-11,Mexico,home,2,0,win,competitive,South Africa,Mexico,South Africa,FIFA World Cup 2026
2026-06-11,South Africa,away,0,2,loss,competitive,Mexico,Mexico,South Africa,FIFA World Cup 2026
2026-06-11,South Korea,home,2,1,win,competitive,Czech Republic,South Korea,Czech Republic,FIFA World Cup 2026
2026-06-11,Czech Republic,away,1,2,loss,competitive,South Korea,South Korea,Czech Republic,FIFA World Cup 2026
2026-06-18,Czech Republic,home,1,1,draw,competitive,South Africa,Czech Republic,South Africa,FIFA World Cup 2026
2026-06-18,South Africa,away,1,1,draw,competitive,Czech Republic,Czech Republic,South Africa,FIFA World Cup 2026
2026-06-18,Mexico,home,1,0,win,competitive,South Korea,Mexico,South Korea,FIFA World Cup 2026
2026-06-18,South Korea,away,0,1,loss,competitive,Mexico,Mexico,South Korea,FIFA World Cup 2026
2026-06-24,Mexico,home,3,0,win,competitive,Czech Republic,Mexico,Czech Republic,FIFA World Cup 2026
2026-06-24,Czech Republic,away,0,3,loss,competitive,Mexico,Mexico,Czech Republic,FIFA World Cup 2026
2026-06-24,South Africa,home,1,0,win,competitive,South Korea,South Africa,South Korea,FIFA World Cup 2026
2026-06-24,South Korea,away,0,1,loss,competitive,South Africa,South Africa,South Korea,FIFA World Cup 2026
2026-06-12,Canada,home,1,1,draw,competitive,Bosnia and Herzegovina,Canada,Bosnia and Herzegovina,FIFA World Cup 2026
2026-06-12,Bosnia and Herzegovina,away,1,1,draw,competitive,Canada,Canada,Bosnia and Herzegovina,FIFA World Cup 2026
2026-06-13,Qatar,home,1,1,draw,competitive,Switzerland,Qatar,Switzerland,FIFA World Cup 2026
2026-06-13,Switzerland,away,1,1,draw,competitive,Qatar,Qatar,Switzerland,FIFA World Cup 2026
2026-06-18,Switzerland,home,4,1,win,competitive,Bosnia and Herzegovina,Switzerland,Bosnia and Herzegovina,FIFA World Cup 2026
2026-06-18,Bosnia and Herzegovina,away,1,4,loss,competitive,Switzerland,Switzerland,Bosnia and Herzegovina,FIFA World Cup 2026
2026-06-18,Canada,home,6,0,win,competitive,Qatar,Canada,Qatar,FIFA World Cup 2026
2026-06-18,Qatar,away,0,6,loss,competitive,Canada,Canada,Qatar,FIFA World Cup 2026
2026-06-24,Switzerland,home,2,1,win,competitive,Canada,Switzerland,Canada,FIFA World Cup 2026
2026-06-24,Canada,away,1,2,loss,competitive,Switzerland,Switzerland,Canada,FIFA World Cup 2026
2026-06-24,Bosnia and Herzegovina,home,3,1,win,competitive,Qatar,Bosnia and Herzegovina,Qatar,FIFA World Cup 2026
2026-06-24,Qatar,away,1,3,loss,competitive,Bosnia and Herzegovina,Bosnia and Herzegovina,Qatar,FIFA World Cup 2026
2026-06-13,Haiti,home,0,1,loss,competitive,Scotland,Haiti,Scotland,FIFA World Cup 2026
2026-06-13,Scotland,away,1,0,win,competitive,Haiti,Haiti,Scotland,FIFA World Cup 2026
2026-06-13,Brazil,home,1,1,draw,competitive,Morocco,Brazil,Morocco,FIFA World Cup 2026
2026-06-13,Morocco,away,1,1,draw,competitive,Brazil,Brazil,Morocco,FIFA World Cup 2026
2026-06-19,Brazil,home,3,0,win,competitive,Haiti,Brazil,Haiti,FIFA World Cup 2026
2026-06-19,Haiti,away,0,3,loss,competitive,Brazil,Brazil,Haiti,FIFA World Cup 2026
2026-06-19,Scotland,home,0,1,loss,competitive,Morocco,Scotland,Morocco,FIFA World Cup 2026
2026-06-19,Morocco,away,1,0,win,competitive,Scotland,Scotland,Morocco,FIFA World Cup 2026
2026-06-24,Scotland,home,0,3,loss,competitive,Brazil,Scotland,Brazil,FIFA World Cup 2026
2026-06-24,Brazil,away,3,0,win,competitive,Scotland,Scotland,Brazil,FIFA World Cup 2026
2026-06-24,Morocco,home,4,2,win,competitive,Haiti,Morocco,Haiti,FIFA World Cup 2026
2026-06-24,Haiti,away,2,4,loss,competitive,Morocco,Morocco,Haiti,FIFA World Cup 2026
2026-06-12,United States,home,4,1,win,competitive,Paraguay,United States,Paraguay,FIFA World Cup 2026
2026-06-12,Paraguay,away,1,4,loss,competitive,United States,United States,Paraguay,FIFA World Cup 2026
2026-06-13,Australia,home,2,0,win,competitive,Türkiye,Australia,Türkiye,FIFA World Cup 2026
